"TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"2013","Portugal","14 years","Males","Number","56,636",""
"2013","Portugal","14 years","Females","Number","54,220",""
"2013","Portugal","15 years","Males","Number","56,141",""
"2013","Portugal","15 years","Females","Number","54,414",""
"2013","Portugal","16 years","Males","Number","56,413",""
"2013","Portugal","16 years","Females","Number","53,312",""
"2013","Portugal","17 years","Males","Number","55,911",""
"2013","Portugal","17 years","Females","Number","53,044",""
"2013","Portugal","18 years","Males","Number","55,546",""
"2013","Portugal","18 years","Females","Number","53,218",""
"2013","Portugal","19 years","Males","Number","57,321",""
"2013","Portugal","19 years","Females","Number","55,886",""
"2013","Portugal","20 years","Males","Number","57,480",""
"2013","Portugal","20 years","Females","Number","56,564",""
"2013","Portugal","21 years","Males","Number","58,319",""
"2013","Portugal","21 years","Females","Number","57,035",""
"2013","Portugal","22 years","Males","Number","57,769",""
"2013","Portugal","22 years","Females","Number","56,988",""
"2013","Portugal","23 years","Males","Number","56,902",""
"2013","Portugal","23 years","Females","Number","56,275",""
"2013","Portugal","24 years","Males","Number","57,478",""
"2013","Portugal","24 years","Females","Number","57,074",""
"2013","Portugal","25 years","Males","Number","57,162",""
"2013","Portugal","25 years","Females","Number","57,172",""
"2013","Portugal","26 years","Males","Number","57,764",""
"2013","Portugal","26 years","Females","Number","58,196",""
"2013","Portugal","27 years","Males","Number","59,278",""
"2013","Portugal","27 years","Females","Number","59,864",""
"2013","Portugal","28 years","Males","Number","63,085",""
"2013","Portugal","28 years","Females","Number","64,315",""
"2013","Portugal","29 years","Males","Number","64,229",""
"2013","Portugal","29 years","Females","Number","65,833",""
"2013","Portugal","30 years","Males","Number","66,820",""
"2013","Portugal","30 years","Females","Number","69,837",""
"2013","Portugal","31 years","Males","Number","67,433",""
"2013","Portugal","31 years","Females","Number","71,016",""
"2013","Portugal","32 years","Males","Number","70,499",""
"2013","Portugal","32 years","Females","Number","74,570",""
"2013","Portugal","33 years","Males","Number","70,808",""
"2013","Portugal","33 years","Females","Number","74,759",""
"2013","Portugal","34 years","Males","Number","72,859",""
"2013","Portugal","34 years","Females","Number","77,669",""
"2013","Portugal","35 years","Males","Number","79,561",""
"2013","Portugal","35 years","Females","Number","83,971",""
"2013","Portugal","36 years","Males","Number","81,325",""
"2013","Portugal","36 years","Females","Number","86,456",""
"2013","Portugal","37 years","Males","Number","82,079",""
"2013","Portugal","37 years","Females","Number","86,381",""
"2013","Portugal","38 years","Males","Number","80,380",""
"2013","Portugal","38 years","Females","Number","85,848",""
"2013","Portugal","39 years","Males","Number","78,456",""
"2013","Portugal","39 years","Females","Number","83,345",""
"2013","Portugal","40 years","Males","Number","78,693",""
"2013","Portugal","40 years","Females","Number","83,693",""
"2013","Portugal","41 years","Males","Number","78,258",""
"2013","Portugal","41 years","Females","Number","82,906",""
"2013","Portugal","42 years","Males","Number","76,219",""
"2013","Portugal","42 years","Females","Number","80,178",""
"2013","Portugal","43 years","Males","Number","74,537",""
"2013","Portugal","43 years","Females","Number","78,480",""
"2013","Portugal","44 years","Males","Number","74,269",""
"2013","Portugal","44 years","Females","Number","78,128",""
"2013","Portugal","45 years","Males","Number","73,756",""
"2013","Portugal","45 years","Females","Number","79,008",""
"2013","Portugal","46 years","Males","Number","74,542",""
"2013","Portugal","46 years","Females","Number","80,015",""
"2013","Portugal","47 years","Males","Number","75,167",""
"2013","Portugal","47 years","Females","Number","80,511",""
"2013","Portugal","48 years","Males","Number","75,542",""
"2013","Portugal","48 years","Females","Number","81,615",""
"2013","Portugal","49 years","Males","Number","73,674",""
"2013","Portugal","49 years","Females","Number","79,685",""
"2013","Portugal","50 years","Males","Number","73,463",""
"2013","Portugal","50 years","Females","Number","79,471",""
"2013","Portugal","51 years","Males","Number","73,116",""
"2013","Portugal","51 years","Females","Number","79,064",""
"2013","Portugal","52 years","Males","Number","73,062",""
"2013","Portugal","52 years","Females","Number","77,931",""
"2013","Portugal","53 years","Males","Number","69,214",""
"2013","Portugal","53 years","Females","Number","74,866",""
"2013","Portugal","54 years","Males","Number","68,589",""
"2013","Portugal","54 years","Females","Number","74,934",""
"2013","Portugal","55 years","Males","Number","67,794",""
"2013","Portugal","55 years","Females","Number","73,797",""
"2013","Portugal","56 years","Males","Number","65,517",""
"2013","Portugal","56 years","Females","Number","71,657",""
"2013","Portugal","57 years","Males","Number","65,415",""
"2013","Portugal","57 years","Females","Number","72,744",""
"2013","Portugal","58 years","Males","Number","63,531",""
"2013","Portugal","58 years","Females","Number","70,131",""
"2013","Portugal","59 years","Males","Number","61,367",""
"2013","Portugal","59 years","Females","Number","68,800",""
"2013","Portugal","60 years","Males","Number","61,946",""
"2013","Portugal","60 years","Females","Number","70,491",""
"2013","Portugal","61 years","Males","Number","62,483",""
"2013","Portugal","61 years","Females","Number","69,267",""
"2013","Portugal","62 years","Males","Number","61,037",""
"2013","Portugal","62 years","Females","Number","68,088",""
"2013","Portugal","63 years","Males","Number","59,426",""
"2013","Portugal","63 years","Females","Number","66,345",""
"2013","Portugal","64 years","Males","Number","59,262",""
"2013","Portugal","64 years","Females","Number","68,738",""
"2013","Portugal","65 years","Males","Number","52,495",""
"2013","Portugal","65 years","Females","Number","61,979",""
"2013","Portugal","66 years","Males","Number","51,768",""
"2013","Portugal","66 years","Females","Number","62,084",""
"2013","Portugal","67 years","Males","Number","52,568",""
"2013","Portugal","67 years","Females","Number","64,407",""
"2013","Portugal","68 years","Males","Number","49,052",""
"2013","Portugal","68 years","Females","Number","60,328",""
"2013","Portugal","69 years","Males","Number","46,864",""
"2013","Portugal","69 years","Females","Number","57,467",""
"2013","Portugal","70 years","Males","Number","43,217",""
"2013","Portugal","70 years","Females","Number","53,952",""
"2013","Portugal","71 years","Males","Number","42,165",""
"2013","Portugal","71 years","Females","Number","52,909",""
"2013","Portugal","72 years","Males","Number","42,308",""
"2013","Portugal","72 years","Females","Number","53,759",""
"2013","Portugal","73 years","Males","Number","41,887",""
"2013","Portugal","73 years","Females","Number","54,532",""
"2013","Portugal","74 years","Males","Number","41,247",""
"2013","Portugal","74 years","Females","Number","53,661",""
"2013","Portugal","75 years","Males","Number","38,580",""
"2013","Portugal","75 years","Females","Number","52,473",""
"2013","Portugal","76 years","Males","Number","39,332",""
"2013","Portugal","76 years","Females","Number","53,888",""
"2013","Portugal","77 years","Males","Number","36,935",""
"2013","Portugal","77 years","Females","Number","52,580",""
"2013","Portugal","78 years","Males","Number","33,509",""
"2013","Portugal","78 years","Females","Number","48,295",""
"2013","Portugal","79 years","Males","Number","31,732",""
"2013","Portugal","79 years","Females","Number","47,657",""
"2013","Portugal","80 years","Males","Number","29,867",""
"2013","Portugal","80 years","Females","Number","45,583",""
"2013","Portugal","81 years","Males","Number","28,046",""
"2013","Portugal","81 years","Females","Number","42,446",""
"2013","Portugal","82 years","Males","Number","24,296",""
"2013","Portugal","82 years","Females","Number","40,397",""
"2013","Portugal","83 years","Males","Number","19,965",""
"2013","Portugal","83 years","Females","Number","34,066",""
"2013","Portugal","84 years","Males","Number","17,840",""
"2013","Portugal","84 years","Females","Number","32,181",""
"2013","Portugal","85 years","Males","Number","15,178",""
"2013","Portugal","85 years","Females","Number","28,425",""
"2013","Portugal","86 years","Males","Number","13,364",""
"2013","Portugal","86 years","Females","Number","26,652",""
"2013","Portugal","87 years","Males","Number","11,015",""
"2013","Portugal","87 years","Females","Number","23,017",""
"2013","Portugal","88 years","Males","Number","9,125",""
"2013","Portugal","88 years","Females","Number","18,660",""
"2013","Portugal","89 years","Males","Number","6,873",""
"2013","Portugal","89 years","Females","Number","15,319",""
"2013","Portugal","90 years","Males","Number","5,217",""
"2013","Portugal","90 years","Females","Number","12,042",""
"2013","Portugal","91 years","Males","Number","4,798",""
"2013","Portugal","91 years","Females","Number","10,960",""
"2013","Portugal","92 years","Males","Number","3,698",""
"2013","Portugal","92 years","Females","Number","9,305",""
"2013","Portugal","93 years","Males","Number","2,157",""
"2013","Portugal","93 years","Females","Number","5,609",""
"2013","Portugal","94 years","Males","Number","1,518",""
"2013","Portugal","94 years","Females","Number","4,027",""
"2013","Portugal","95 years","Males","Number","1,223",""
"2013","Portugal","95 years","Females","Number","3,292",""
"2013","Portugal","96 years","Males","Number","872",""
"2013","Portugal","96 years","Females","Number","2,569",""
"2013","Portugal","97 years","Males","Number","683",""
"2013","Portugal","97 years","Females","Number","1,924",""
"2013","Portugal","98 years","Males","Number","652",""
"2013","Portugal","98 years","Females","Number","1,708",""
"2013","Portugal","99 years","Males","Number","523",""
"2013","Portugal","99 years","Females","Number","1,274",""
"2013","Portugal","Open-ended age class","Males","Number","658",""
"2013","Portugal","Open-ended age class","Females","Number","1,952",""
"2013","Portugal","Unknown","Males","Number","0",""
"2013","Portugal","Unknown","Females","Number","0",""
"2014","Portugal","Less than 1 year","Males","Number","42,189",""
"2014","Portugal","Less than 1 year","Females","Number","40,475",""
"2014","Portugal","1 year","Males","Number","46,104",""
"2014","Portugal","1 year","Females","Number","43,536",""
"2014","Portugal","2 years","Males","Number","49,080",""
"2014","Portugal","2 years","Females","Number","46,607",""
"2014","Portugal","3 years","Males","Number","50,385",""
"2014","Portugal","3 years","Females","Number","49,132",""
"2014","Portugal","4 years","Males","Number","48,931",""
"2014","Portugal","4 years","Females","Number","47,044",""
"2014","Portugal","5 years","Males","Number","51,355",""
"2014","Portugal","5 years","Females","Number","48,703",""
"2014","Portugal","6 years","Males","Number","50,232",""
"2014","Portugal","6 years","Females","Number","47,907",""
"2014","Portugal","7 years","Males","Number","51,410",""
"2014","Portugal","7 years","Females","Number","49,452",""
"2014","Portugal","8 years","Males","Number","53,986",""
"2014","Portugal","8 years","Females","Number","50,921",""
"2014","Portugal","9 years","Males","Number","52,951",""
"2014","Portugal","9 years","Females","Number","50,516",""
"2014","Portugal","10 years","Males","Number","54,524",""
"2014","Portugal","10 years","Females","Number","51,754",""
"2014","Portugal","11 years","Males","Number","55,173",""
"2014","Portugal","11 years","Females","Number","52,104",""
"2014","Portugal","12 years","Males","Number","55,043",""
"2014","Portugal","12 years","Females","Number","51,876",""
"2014","Portugal","13 years","Males","Number","59,747",""
"2014","Portugal","13 years","Females","Number","56,660",""
"2014","Portugal","14 years","Males","Number","58,193",""
"2014","Portugal","14 years","Females","Number","55,864",""
"2014","Portugal","15 years","Males","Number","56,685",""
"2014","Portugal","15 years","Females","Number","54,254",""
"2014","Portugal","16 years","Males","Number","56,151",""
"2014","Portugal","16 years","Females","Number","54,434",""
"2014","Portugal","17 years","Males","Number","56,333",""
"2014","Portugal","17 years","Females","Number","53,247",""
"2014","Portugal","18 years","Males","Number","55,629",""
"2014","Portugal","18 years","Females","Number","52,841",""
"2014","Portugal","19 years","Males","Number","55,017",""
"2014","Portugal","19 years","Females","Number","52,879",""
"2014","Portugal","20 years","Males","Number","56,548",""
"2014","Portugal","20 years","Females","Number","55,341",""
"2014","Portugal","21 years","Males","Number","56,576",""
"2014","Portugal","21 years","Females","Number","55,886",""
"2014","Portugal","22 years","Males","Number","57,492",""
"2014","Portugal","22 years","Females","Number","56,330",""
"2014","Portugal","23 years","Males","Number","57,093",""
"2014","Portugal","23 years","Females","Number","56,229",""
"2014","Portugal","24 years","Males","Number","56,366",""
"2014","Portugal","24 years","Females","Number","55,543",""
"2014","Portugal","25 years","Males","Number","56,975",""
"2014","Portugal","25 years","Females","Number","56,436",""
"2014","Portugal","26 years","Males","Number","56,669",""
"2014","Portugal","26 years","Females","Number","56,652",""
"2014","Portugal","27 years","Males","Number","57,142",""
"2014","Portugal","27 years","Females","Number","57,666",""
"2014","Portugal","28 years","Males","Number","58,591",""
"2014","Portugal","28 years","Females","Number","59,397",""
"2014","Portugal","29 years","Males","Number","62,313",""
"2014","Portugal","29 years","Females","Number","63,901",""
"2014","Portugal","30 years","Males","Number","63,459",""
"2014","Portugal","30 years","Females","Number","65,522",""
"2014","Portugal","31 years","Males","Number","66,058",""
"2014","Portugal","31 years","Females","Number","69,570",""
"2014","Portugal","32 years","Males","Number","66,674",""
"2014","Portugal","32 years","Females","Number","70,818",""
"2014","Portugal","33 years","Males","Number","69,702",""
"2014","Portugal","33 years","Females","Number","74,377",""
"2014","Portugal","34 years","Males","Number","70,016",""
"2014","Portugal","34 years","Females","Number","74,577",""
"2014","Portugal","35 years","Males","Number","72,088",""
"2014","Portugal","35 years","Females","Number","77,515",""
"2014","Portugal","36 years","Males","Number","78,769",""
"2014","Portugal","36 years","Females","Number","83,811",""
"2014","Portugal","37 years","Males","Number","80,496",""
"2014","Portugal","37 years","Females","Number","86,293",""
"2014","Portugal","38 years","Males","Number","81,203",""
"2014","Portugal","38 years","Females","Number","86,201",""
"2014","Portugal","39 years","Males","Number","79,454",""
"2014","Portugal","39 years","Females","Number","85,645",""
"2014","Portugal","40 years","Males","Number","77,439",""
"2014","Portugal","40 years","Females","Number","83,133",""
"2014","Portugal","41 years","Males","Number","77,654",""
"2014","Portugal","41 years","Females","Number","83,537",""
