sample_id	cheese_full_type	animal_origin	milk_treatment	cheese_classification	country	region	colection_year	clinical_source	clinical_freq
SRR3945591.fa	 ricotta cheese			semi-soft or soft	USA	New Jersey	2012		
SRR3945594.fa	 moliterno al tartufo cheese	sheep		semi-hard or hard	Italy		2012		
SRR3945595.fa	 bianco\, brie-style cheese	cow		semi-hard	USA	New York	2012		
SRR3945599.fa	 cheese from sheep milk	sheep			Italy		2012		
SRR3945600.fa	 gorgonzola dolce cheese	cow		soft	Italy		2013		
SRR3945602.fa	 gouda cheese wheel	cow		semi-hard or hard	USA	New York	2013		
SRR3995860.fa	 queso cotija	cow			USA	Wisconsin	2011		
SRR4031386.fa	 cheese curd				USA	Florida	2004		
SRR4098791.fa	 shredded mozzarella cheese			semi-soft	USA	Illinois	2003		
SRR4301094.fa	 cheese				USA	Florida	2004		
SRR5000317.fa	 soft cheese			soft	USA	Minnesota	2013		
SRR5000319.fa	 soft cheese			soft	USA	Minnesota	2013		
SRR5066070.fa	 hard cheese			hard	USA	Minnesota	2013		
SRR5066072.fa	 blue cheese				USA	Minnesota 	2013		
SRR5085096.fa	 bovine cheese blue	cow			Italy		2006		
SRR5105955.fa	 goat cheese	goat			USA	Pennsylvania	2016		
SRR5182487.fa	 cotija cheese	cow			Mexico 		2010		
SRR5184994.fa	 cotija cheese	cow			Mexico 		2010		
SRR5251050.fa	cheese				USA		2017		
SRR5282220.fa	 soft cheese			soft	USA		2017		
SRR5341553.fa	 blue cheese				USA	Idaho	2001		
SRR5341885.fa	 cheese				USA	New York	2017		
SRR5342838.fa	 blue cheese crumbles				USA	Idaho	2001		
SRR5342839.fa	 blue cheese				USA	Idaho	2001		
SRR5344980.fa	 hard cheese			hard	USA		2017		
SRR5378787.fa	 spreadable cheese			soft	USA	Illinois	2001		
SRR5378819.fa	 raw milk cheese		raw		USA	New York	2017		
SRR5380992.fa	 cheese				USA	New York	2009		
SRR5486795.fa	 cubed cheddar cheese	cow		hard	USA	California	2011		
SRR5494839.fa	 cheese				USA	Michigan	2011		
SRR5494844.fa	 cheese				USA	Michigan	2011		
SRR5494845.fa	 cheese				USA	Michigan	2011		
SRR5629166.fa	 cheese\, mexican soft			soft	USA	New Jersey	2009		
SRR5645596.fa	 cheese				USA	Michigan	2012		
SRR5645600.fa	 cheese				USA	Michigan	2012		
SRR5646644.fa	 cheese				USA	New York	2008		
SRR5663603.fa	 cheese				USA	Michigan	2012		
SRR5663634.fa	 cheese				USA	Michigan	2012		
